s1	s6	s0
AHN	2013-08-28	648
AHN	2013-08-29	672
AHN	2013-08-30	690
AHN	2013-08-31	652
AHN	2013-09-01	696
AHN	2013-09-02	802
AHN	2013-09-03	708
AHN	2013-09-04	690
AHN	2013-09-05	668
AHN	2013-09-06	746
AHN	2013-09-07	700
AHN	2013-09-08	838
AHN	2013-09-09	846
AHN	2013-09-10	838
AHN	2013-09-11	754
AHN	2013-09-12	784
AHN	2013-09-13	764
AHN	2013-09-14	684
AHN	2013-09-15	822
AHN	2013-09-16	872
AHN	2013-09-17	732
AHN	2013-09-18	728
AHN	2013-09-19	706
AHN	2013-09-20	804
AHN	2013-09-21	736
AHN	2013-09-22	658
AHN	2013-09-23	712
AHN	2013-09-24	784
AHN	2013-09-25	742
AHN	2013-09-26	716
AHN	2013-09-27	660
AHN	2013-09-28	744
AHN	2013-09-29	716
AHN	2013-09-30	812
AHN	2013-10-01	692
AHN	2013-10-02	828
AHN	2013-10-03	768
AHN	2013-10-04	758
AHN	2013-10-05	656
AHN	2013-10-06	772
AHN	2013-10-07	814
AHN	2013-10-08	738
AHN	2013-10-09	718
AHN	2013-10-10	682
AHN	2013-10-11	776
AHN	2013-10-12	670
AHN	2013-10-13	726
AHN	2013-10-14	764
AHN	2013-10-15	802
AHN	2013-10-16	730
AHN	2013-10-17	706
AHN	2013-10-18	764
AHN	2013-10-19	642
AHN	2013-10-20	710
AHN	2013-10-21	780
AHN	2013-10-22	676
AHN	2013-10-23	722
AHN	2013-10-24	676
AHN	2013-10-25	722
AHN	2013-10-26	696
AHN	2013-10-27	754
AHN	2013-10-28	762
AHN	2013-10-29	742
AHN	2013-10-30	712
AHN	2013-10-31	666
AHN	2013-11-01	682
AHN	2013-11-02	628
AHN	2013-11-03	746
AHN	2013-11-04	754
AHN	2013-11-05	666
AHN	2013-11-06	688
AHN	2013-11-07	638
AHN	2013-11-08	748
AHN	2013-11-09	666
AHN	2013-11-10	674
AHN	2013-11-11	756
AHN	2013-11-12	714
AHN	2013-11-13	638
AHN	2013-11-14	600
AHN	2013-11-15	706
AHN	2013-11-16	560
AHN	2013-11-17	680
AHN	2013-11-18	750
AHN	2013-11-19	726
AHN	2013-11-20	694
AHN	2013-11-21	698
AHN	2013-11-22	668
AHN	2013-11-23	614
AHN	2013-11-24	694
AHN	2013-11-25	776
AHN	2013-11-26	710
AHN	2013-11-27	712
AHN	2013-11-28	644
AHN	2013-11-29	666
AHN	2013-11-30	624
AHN	2013-12-01	664
AHN	2013-12-02	810
AHN	2013-12-03	744
AHN	2013-12-04	690
AHN	2013-12-05	750
AHN	2013-12-06	784
AHN	2013-12-07	686
